freq,tra_infr,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,MWAY,KM,PL52	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 	88 
A,MWAY,KM,PL61	25 	23 	23 	86 	100 	144 	165 	165 	165 	165 	165 	165 
A,MWAY,KM,PL62	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,PL63	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 	66 
A,MWAY,KM,PL71	77 	77 	77 	77 	188 	177 	188 	188 	188 	226 	226 	226 
A,MWAY,KM,PL72	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,PL81	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,PL82	0 	0 	0 	0 	7 	91 	112 	112 	112 	153 	153 	156 
A,MWAY,KM,PL84	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,PT20	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,PT30	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,RO11	0 	41 	52 	52 	52 	52 	52 	52 	52 	52 	68 	68 
A,MWAY,KM,RO12	0 	0 	0 	17 	18 	55 	93 	93 	93 	93 	129 	129 
A,MWAY,KM,RO21	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,RO22	1 	1 	1 	1 	74 	74 	74 	74 	74 	74 	74 	74 
A,MWAY,KM,RO31	229 	228 	228 	229 	260 	258 	258 	258 	258 	258 	258 	258 
A,MWAY,KM,RO32	51 	51 	51 	51 	77 	75 	75 	75 	75 	75 	83 	83 
A,MWAY,KM,RO41	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MWAY,KM,RO42	0 	0 	0 	0 	69 	130 	131 	195 	195 	211 	211 	254 
A,MWAY,KM,SE11	262 	297 	296 	297 	297 	304 	308 	310 	309 	313 	313 	313 
A,MWAY,KM,SE12	553 	565 	585 	582 	580 	579 	590 	589 	589 	589 	589 	589 
A,MWAY,KM,SE21	190 	191 	194 	194 	194 	194 	194 	194 	194 	197 	197 	197 
A,MWAY,KM,SE22	309 	307 	320 	329 	333 	342 	356 	361 	361 	365 	365 	366 
A,MWAY,KM,SE23	428 	454 	467 	473 	517 	542 	543 	568 	568 	570 	570 	570 
A,MWAY,KM,SE31	92 	89 	89 	62 	62 	62 	62 	61 	61 	63 	63 	63 
A,MWAY,KM,SE32	16 	15 	15 	15 	15 	15 	29 	29 	29 	29 	29 	29 
A,MWAY,KM,SE33	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
A,MWAY,KM,SI03	: 	: 	: 	: 	384 	391 	315 	315 	315 	322 	327 	327 
A,MWAY,KM,SI04	: 	: 	: 	: 	385 	380 	292 	295 	295 	296 	296 	296 
A,MWAY,KM,SK01	110 	110 	110 	114 	114 	114 	112 	110 	110 	110 	110 	110 
A,MWAY,KM,SK02	147 	147 	158 	158 	158 	155 	155 	155 	155 	155 	155 	155 
A,MWAY,KM,SK03	69 	70 	70 	69 	69 	67 	67 	83 	83 	102 	102 	102 
A,MWAY,KM,SK04	66 	73 	89 	89 	91 	89 	87 	116 	116 	116 	116 	129 
