Year,Country,Unit,MotorwayLengthKm
2015,UK,KM,115.0
2015,UK,KM_TKM2,8.0
2016,AT,KM,1719.0
2016,AT,KM_TKM2,270.0
2016,BE,KM,1765.0
2016,BE,KM_TKM2,664.0
2016,BG,KM,740.0
2016,BG,KM_TKM2,38.0
2016,CH,KM,1842.0
2016,CH,KM_TKM2,379.0
2016,CY,KM,257.0
2016,CY,KM_TKM2,28.0
2016,CZ,KM,1223.0
2016,CZ,KM_TKM2,200.0
2016,DE,KM,3332.0
2016,DE,KM_TKM2,614.0
2016,DK,KM,1254.0
2016,DK,KM_TKM2,176.0
2016,EE,KM,145.0
2016,EE,KM_TKM2,3.0
2016,ES,KM,15445.0
2016,ES,KM_TKM2,677.0
2016,FI,KM,890.0
2016,FI,KM_TKM2,46.0
2016,FR,KM,11615.0
2016,FR,KM_TKM2,494.0
2016,HR,KM,1310.0
2016,HR,KM_TKM2,47.0
2016,HU,KM,1628.0
2016,HU,KM_TKM2,97.0
2016,IE,KM,917.0
2016,IT,KM,6943.0
2016,IT,KM_TKM2,491.0
2016,LI,KM,0.0
2016,LI,KM_TKM2,0.0
2016,LU,KM,161.0
2016,LU,KM_TKM2,62.0
2016,LV,KM,0.0
2016,LV,KM_TKM2,0.0
2016,MT,KM,0.0
2016,MT,KM_TKM2,0.0
2016,NL,KM,2756.0
2016,NL,KM_TKM2,818.0
2016,NO,KM,507.0
2016,NO,KM_TKM2,43.0
2016,PL,KM,1493.0
2016,PL,KM_TKM2,71.0
2016,PT,KM,0.0
2016,PT,KM_TKM2,0.0
2016,RO,KM,747.0
2016,RO,KM_TKM2,61.0
2016,SE,KM,2117.0
2016,SE,KM_TKM2,114.0
2016,SI,KM,610.0
2016,SI,KM_TKM2,63.0
2016,SK,KM,464.0
2016,SK,KM_TKM2,76.0
2016,TR,KM,2542.0
2016,TR,KM_TKM2,183.0
2016,UK,KM,115.0
2016,UK,KM_TKM2,8.0
2017,AT,KM,1744.0
2017,AT,KM_TKM2,272.0
2017,BE,KM,1765.0
2017,BE,KM_TKM2,664.0
2017,BG,KM,734.0
2017,BG,KM_TKM2,38.0
2017,CH,KM,1856.0
2017,CH,KM_TKM2,381.0
2017,CY,KM,257.0
2017,CY,KM_TKM2,28.0
2017,CZ,KM,1240.0
2017,CZ,KM_TKM2,201.0
2017,DE,KM,3344.0
2017,DE,KM_TKM2,615.0
2017,DK,KM,1308.0
2017,DK,KM_TKM2,181.0
2017,EE,KM,154.0
2017,EE,KM_TKM2,4.0
2017,ES,KM,15523.0
2017,ES,KM_TKM2,683.0
2017,FI,KM,893.0
2017,FI,KM_TKM2,46.0
2017,FR,KM,11619.0
2017,FR,KM_TKM2,494.0
2017,HR,KM,1310.0
2017,HR,KM_TKM2,47.0
2017,HU,KM,1636.0
2017,HU,KM_TKM2,97.0
2017,IE,KM,917.0
2017,IT,KM,6943.0
2017,IT,KM_TKM2,491.0
2017,LT,KM,324.0
2017,LU,KM,165.0
2017,LU,KM_TKM2,64.0
2017,LV,KM,0.0
2017,LV,KM_TKM2,0.0
2017,MT,KM,0.0
2017,MT,KM_TKM2,0.0
2017,NL,KM,2759.0
2017,NL,KM_TKM2,820.0
2017,NO,KM,523.0
2017,NO,KM_TKM2,41.0
2017,PL,KM,1571.0
2017,PL,KM_TKM2,92.0
2017,PT,KM,0.0
2017,PT,KM_TKM2,0.0
2017,RO,KM,763.0
2017,RO,KM_TKM2,62.0
2017,SE,KM,2132.0
2017,SE,KM_TKM2,116.0
2017,SI,KM,618.0
2017,SI,KM_TKM2,64.0
2017,SK,KM,483.0
2017,SK,KM_TKM2,77.0
2017,TR,KM,2657.0
2017,TR,KM_TKM2,186.0
2017,UK,KM,115.0
2017,UK,KM_TKM2,8.0
2018,AT,KM,1744.0
2018,AT,KM_TKM2,272.0
2018,BE,KM,1765.0
2018,BE,KM_TKM2,664.0
2018,BG,KM,757.0
2018,BG,KM_TKM2,39.0
2018,CH,KM,1856.0
2018,CH,KM_TKM2,381.0
2018,CY,KM,257.0
2018,CY,KM_TKM2,28.0
2018,CZ,KM,1251.0
2018,CZ,KM_TKM2,203.0
2018,DE,KM,3427.0
2018,DE,KM_TKM2,619.0
2018,DK,KM,1329.0
2018,DK,KM_TKM2,182.0
2018,EE,KM,154.0
2018,EE,KM_TKM2,4.0
2018,ES,KM,15583.0
2018,ES,KM_TKM2,684.0
2018,FI,KM,926.0
2018,FI,KM_TKM2,47.0
2018,FR,KM,11670.0
2018,FR,KM_TKM2,497.0
2018,HR,KM,1310.0
2018,HR,KM_TKM2,47.0
2018,HU,KM,1670.0
2018,HU,KM_TKM2,258.0
2018,IE,KM,917.0
2018,IE,KM_TKM2,44.0
2018,IT,KM,6966.0
2018,IT,KM_TKM2,492.0
2018,LI,KM,0.0
2018,LI,KM_TKM2,0.0
2018,LT,KM,324.0
2018,LT,KM_TKM2,14.0
2018,LU,KM,165.0
2018,LU,KM_TKM2,64.0
2018,LV,KM,0.0
2018,LV,KM_TKM2,0.0
2018,MT,KM,0.0
2018,MT,KM_TKM2,0.0
2018,NL,KM,2757.0
2018,NL,KM_TKM2,817.0
2018,NO,KM,535.0
2018,NO,KM_TKM2,41.0
2018,PL,KM,1571.0
2018,PL,KM_TKM2,92.0
2018,PT,KM,0.0
2018,PT,KM_TKM2,0.0
2018,RO,KM,823.0
2018,RO,KM_TKM2,68.0
2018,SE,KM,2132.0
2018,SE,KM_TKM2,116.0
2018,SI,KM,623.0
2018,SI,KM_TKM2,64.0
