Unit,Location,Year,Count
NR,CZ,2011,1234705
NR,DE,2011,3910637
NR,DE,2011,2663588
NR,DE,2011,2142723
NR,DE,2011,1761557
NR,DE,2011,4313946
NR,DE,2011,1172475
NR,DE,2011,1071424
NR,DE,2011,1065322
NR,DE,2011,1679849
NR,DE,2011,1302144
NR,DE,2011,1778244
NR,DE,2011,3278346
NR,DE,2011,2461242
NR,DE,2011,651467
NR,DE,2011,1705700
NR,DE,2011,3734199
NR,DE,2011,1027159
NR,DE,2011,1208050
NR,DE,2011,1614789
NR,DE,2011,1579623
NR,DE,2011,2093945
NR,DE,2011,1669999
NR,DE,2011,2435261
NR,DE,2011,5081231
NR,DE,2011,4282911
NR,DE,2011,2568358
NR,DE,2011,2031337
NR,DE,2011,3581355
NR,DE,2011,1486160
NR,DE,2011,518554
NR,DE,2011,1989471
NR,DE,2011,1001879
NR,DE,2011,1594568
NR,DE,2011,1505254
NR,DE,2011,966434
NR,DE,2011,2297386
NR,DE,2011,2800134
NR,DE,2011,2195344
NR,DK,2011,1699387
NR,DK,2011,819763
NR,DK,2011,1200656
NR,DK,2011,1260993
NR,DK,2011,579829
NR,EE,2011,1329660
NR,EL,2011,3992912
NR,EL,2011,200831
NR,EL,2011,333983
NR,EL,2011,627144
NR,EL,2011,611573
NR,EL,2011,1925437
NR,EL,2011,285899
NR,EL,2011,346503
NR,EL,2011,747690
NR,EL,2011,209221
NR,EL,2011,690904
NR,EL,2011,561693
NR,EL,2011,589602
NR,ES,2011,2773411
NR,ES,2011,1075869
NR,ES,2011,590867
NR,ES,2011,2183136
NR,ES,2011,637100
NR,ES,2011,320858
NR,ES,2011,1344385
NR,ES,2011,6394252
NR,ES,2011,2545301
NR,ES,2011,2099064
NR,ES,2011,1102299
NR,ES,2011,7493263
NR,ES,2011,4999192
NR,ES,2011,1091664
NR,ES,2011,8332080
NR,ES,2011,1459075
NR,ES,2011,81621
NR,ES,2011,78866
NR,ES,2011,2064871
NR,FI,2011,1360041
NR,FI,2011,1532309
NR,FI,2011,1156791
NR,FI,2011,1298128
NR,FI,2011,28007
NR,FR,2011,11852851
NR,FR,2011,2556835
NR,FR,2011,1642734
NR,FR,2011,1173440
NR,FR,2011,1475684
NR,FR,2011,1839393
NR,FR,2011,4042015
NR,FR,2011,1918155
NR,FR,2011,1852325
NR,FR,2011,1336053
NR,FR,2011,2350657
NR,FR,2011,3601113
NR,FR,2011,3217767
NR,FR,2011,3254233
NR,FR,2011,741072
NR,FR,2011,1777773
NR,FR,2011,2670046
NR,FR,2011,2903420
NR,FR,2011,1350682
NR,FR,2011,6283541
NR,FR,2011,4916069
NR,FR,2011,314486
NR,FR,2011,
NR,FR,2011,
NR,FR,2011,392291
NR,FR,2011,237549
NR,FR,2011,828581
NR,FR,2011,
NR,HR,2011,1413426
NR,HR,2011,2876431
NR,HU,2011,1733685
NR,HU,2011,1237561
NR,HU,2011,1094104
NR,HU,2011,994698
NR,HU,2011,940585
NR,HU,2011,1194697
NR,HU,2011,1481922
NR,HU,2011,1308470
NR,HU,2011,0
NR,IE,2011,
NR,IE,2011,
NR,IE,2011,
NR,IS,2011,318452
NR,IT,2011,4364309
NR,IT,2011,126761
NR,IT,2011,1574132
NR,IT,2011,9663872
NR,IT,2011,1307273
NR,IT,2011,314342
NR,IT,2011,5765850
NR,IT,2011,4053668
NR,IT,2011,579358
NR,IT,2011,1962856
NR,IT,2011,5005657
NR,IT,2011,1641681
NR,IT,2011,501815
NR,IT,2011,522486
NR,IT,2011,4851958
NR,IT,2011,1220849
NR,IT,2011,4331343
NR,IT,2011,3668948
NR,IT,2011,884010
NR,IT,2011,1541950
NR,IT,2011,5481572
NR,LI,2011,36149
NR,LT,2011,811515
NR,LT,2011,2241073
NR,LU,2011,511840
NR,LV,2011,2074605
NR,ME,2011,619850
NR,MK,2011,2057284
NR,MK,2011,
NR,MT,2011,414989
NR,NL,2011,579036
NR,NL,2011,647282
NR,NL,2011,491411
NR,NL,2011,1134465
NR,NL,2011,2004671
NR,NL,2011,391967
NR,NL,2011,1228794
NR,NL,2011,2691477
NR,NL,2011,3528324
NR,NL,2011,381530
NR,NL,2011,2454215
NR,NL,2011,1122627
NR,NO,2011,1144883
NR,NO,2011,377709
NR,NO,2011,938827
NR,NO,2011,718543
NR,NO,2011,845886
NR,NO,2011,426206
NR,NO,2011,468251
NR,PL,2011,3293551
NR,PL,2011,4585758
NR,PL,2011,3422705
NR,PL,2011,1697166
NR,PL,2011,1010700
NR,PL,2011,2878103
NR,PL,2011,972986
NR,PL,2011,2075129
NR,PL,2011,1428620
NR,PL,2011,2245568
NR,PL,2011,
NR,PL,2011,
NR,PL,2011,
NR,PL,2011,
NR,PL,2011,
NR,PL,2011,
NR,PL,2011,
NR,PT,2011,3693585
NR,PT,2011,451304
NR,PT,2011,2331642
NR,PT,2011,2822761
NR,PT,2011,758707
NR,PT,2011,246757
NR,PT,2011,267965
NR,RO,2011,2717532
NR,RO,2011,2522692
NR,RO,2011,3703283
NR,RO,2011,2802532
NR,RO,2011,3253712
NR,RO,2011,2267419
NR,RO,2011,2232814
NR,RO,2011,1913831
NR,RS,2011,
NR,RS,2011,
NR,RS,2011,
NR,RS,2011,
NR,SE,2011,2054343
NR,SE,2011,1569248
NR,SE,2011,811611
NR,SE,2011,1396556
NR,SE,2011,1879781
NR,SE,2011,826820
NR,SE,2011,369316
NR,SE,2011,507895
NR,SI,2011,1098506
NR,SI,2011,951683
NR,SK,2011,599931
NR,SK,2011,1838786
NR,SK,2011,1349286
NR,SK,2011,1604443
NR,TR,2011,13255685
NR,TR,2011,1521328
NR,TR,2011,1642720
NR,TR,2011,3948848
NR,TR,2011,2739188
NR,TR,2011,3005558
NR,TR,2011,3595460
NR,TR,2011,3246147
NR,TR,2011,4771716
NR,TR,2011,2246478
NR,TR,2011,2685499
NR,TR,2011,3733124
NR,TR,2011,3004608
NR,TR,2011,1496296
NR,TR,2011,2352971
NR,TR,2011,1035071
NR,TR,2011,743029
NR,TR,2011,2740686
NR,TR,2011,2516167
NR,TR,2011,1068446
NR,TR,2011,1133660
NR,TR,2011,1625158
NR,TR,2011,2022373
NR,TR,2011,2414833
NR,TR,2011,3192329
NR,TR,2011,1985610
NR,UK,2011,1173646
NR,UK,2011,1417980
NR,UK,2011,499952
NR,UK,2011,2673791
NR,UK,2011,1459318
NR,UK,2011,901375
NR,UK,2011,1503567
NR,UK,2011,916612
NR,UK,2011,796538
NR,UK,2011,1338373
NR,UK,2011,2220015
NR,UK,2011,2104311
NR,UK,2011,1704627
NR,UK,2011,713322
NR,UK,2011,1293901
NR,UK,2011,1567473
NR,UK,2011,2725810
NR,UK,2011,2385006
NR,UK,2011,1726575
NR,UK,2011,1723421
NR,UK,2011,1089392
NR,UK,2011,2121080
NR,UK,2011,1752126
NR,UK,2011,1220637
NR,UK,2011,1950290
NR,UK,2011,2264895
NR,UK,2011,2733391
NR,UK,2011,1894162
NR,UK,2011,1723082
NR,UK,2011,2342716
NR,UK,2011,1271821
NR,UK,2011,534024
NR,UK,2011,1132530
NR,UK,2011,1930295
NR,UK,2011,1126355
NR,UK,2011,473634
NR,UK,2011,465794
NR,UK,2011,
NR,UK,2011,
NR,UK,2011,
NR,UK,2011,1809539
NR,AL,2012,
NR,AL,2012,
NR,AL,2012,
NR,AL,2012,
NR,AT,2012,285782
NR,AT,2012,1614455
NR,AT,2012,1717084
NR,AT,2012,556027
NR,AT,2012,1208696
NR,AT,2012,1413866
NR,AT,2012,529704
NR,AT,2012,711581
NR,AT,2012,370926
NR,BE,2012,1151317
NR,BE,2012,1787490
NR,BE,2012,851558
NR,BE,2012,1457428
NR,BE,2012,1096284
NR,BE,2012,1172795
NR,BE,2012,386683
NR,BE,2012,1325819
NR,BE,2012,1088074
NR,BE,2012,275713
NR,BE,2012,482728
NR,BG,2012,836601
NR,BG,2012,853468
NR,BG,2012,961965
NR,BG,2012,1072850
NR,BG,2012,2131233
NR,BG,2012,1471107
NR,CH,2012,1503500
NR,CH,2012,1770429
NR,CH,2012,1079913
NR,CH,2012,1392396
NR,CH,2012,1113929
NR,CH,2012,757552
NR,CH,2012,336943
NR,CY,2012,862011
NR,CZ,2012,1241664
NR,CZ,2012,1279345
NR,CZ,2012,1207847
NR,CZ,2012,1131191
NR,CZ,2012,1508867
NR,CZ,2012,1678250
NR,CZ,2012,1227668
NR,CZ,2012,1230613
NR,DE,2012,3924922
NR,DE,2012,2671524
NR,DE,2012,2150906
NR,DE,2012,1765089
NR,DE,2012,4363176
NR,DE,2012,1175923
NR,DE,2012,1072091
NR,DE,2012,1061573
NR,DE,2012,1688414
NR,DE,2012,1299076
NR,DE,2012,1783119
NR,DE,2012,3326002
NR,DE,2012,2453180
NR,DE,2012,652182
NR,DE,2012,1718187
NR,DE,2012,3763611
NR,DE,2012,1025525
NR,DE,2012,1204635
NR,DE,2012,1606899
NR,DE,2012,1575968
NR,DE,2012,2093431
NR,DE,2012,1667127
NR,DE,2012,2437727
NR,DE,2012,5077103
NR,DE,2012,4299064
NR,DE,2012,2572221
NR,DE,2012,2027126
NR,DE,2012,3569424
NR,DE,2012,1480166
NR,DE,2012,518370
NR,DE,2012,1991497
NR,DE,2012,997855
NR,DE,2012,1591710
NR,DE,2012,1491442
NR,DE,2012,971030
NR,DE,2012,2276736
NR,DE,2012,2802266
NR,DE,2012,2181603
NR,DK,2012,1714589
NR,DK,2012,817907
NR,DK,2012,1201342
NR,DK,2012,1266682
NR,DK,2012,579996
NR,EE,2012,1325217
NR,EL,2012,3963887
NR,EL,2012,200591
NR,EL,2012,334780
NR,EL,2012,629367
NR,EL,2012,612074
NR,EL,2012,1922590
NR,EL,2012,284061
NR,EL,2012,345437
NR,EL,2012,745839
NR,EL,2012,209131
NR,EL,2012,687935
NR,EL,2012,561670
NR,EL,2012,589044
NR,ES,2012,2771916
