,Unit,Age,Sex,Location,2020,2020_status,2019,2019_status,2018,2018_status,2017,2017_status,2016,2016_status,2015,2015_status,2014,2014_status,2013,2013_status,2012,2012_status,2011,2011_status,2010,2010_status,2009,2009_status
238,NR,TOTAL,T,PT,440088,ok,445824,ok,451304,b,446140,ok,444390,ok,442358,ok,441468,e,441929,e,441469,ok,439617,ok,438864,ok,438406,ok
239,NR,TOTAL,T,PT,2341807,ok,2337787,ok,2331642,b,2316169,ok,2298938,ok,2281164,ok,2263992,e,2256364,e,2243934,ok,2231346,ok,2216569,ok,2217285,ok
240,NR,TOTAL,T,PT,2792105,ok,2808205,ok,2822761,b,2827050,ok,2818388,ok,2807525,ok,2809168,e,2812678,e,2821349,ok,2833679,ok,2846332,ok,2863272,ok
241,NR,TOTAL,T,PT,764652,ok,762068,ok,758707,b,754385,ok,748699,ok,743306,ok,733370,e,724391,e,718087,ok,711950,ok,705478,ok,704558,ok
242,NR,TOTAL,T,PT,246670,ok,246900,ok,246757,b,247194,ok,247549,ok,247440,ok,246353,e,245766,e,245283,ok,243862,ok,242846,ok,242796,ok
243,NR,TOTAL,T,PT,265138,ok,266715,ok,267965,b,264236,ok,263091,ok,261313,ok,258686,e,256424,e,254876,ok,254368,ok,253945,ok,254254,ok
244,NR,TOTAL,T,RO,2721468,ok,2719719,ok,2717532,ok,2598877,b,2594823,ok,2590220,ok,2585543,ok,2576567,ok,2568282,ok,2560504,ok,2552112,ok,2547429,e
245,NR,TOTAL,T,RO,2526062,ok,2524418,ok,2522692,ok,2360578,b,2359405,ok,2355312,ok,2350147,ok,2341964,ok,2332785,ok,2325371,ok,2318272,ok,2314826,e
246,NR,TOTAL,T,RO,3717621,ok,3712396,ok,3703283,ok,3294204,b,3278798,ok,3273367,ok,3269598,ok,3256734,ok,3239540,ok,3222732,ok,3198564,ok,3184215,e
247,NR,TOTAL,T,RO,2818346,ok,2811218,ok,2802532,ok,2538949,b,2523354,ok,2509094,ok,2492352,ok,2469868,ok,2447270,ok,2423059,ok,2396171,ok,2377101,e
248,NR,TOTAL,T,RO,3279786,ok,3267270,ok,3253712,ok,3128799,b,3108150,ok,3085095,ok,3061286,ok,3031555,ok,3003394,ok,2965415,ok,2929832,ok,2901376,e
249,NR,TOTAL,T,RO,2253093,ok,2261698,ok,2267419,ok,2279145,b,2282244,ok,2282968,ok,2284200,ok,2288203,ok,2287208,ok,2302291,ok,2315173,ok,2322002,e
250,NR,TOTAL,T,RO,2257752,ok,2246033,ok,2232814,ok,2067357,b,2048702,ok,2033360,ok,2015766,ok,1993482,ok,1972979,ok,1949813,ok,1926860,ok,1910409,e
251,NR,TOTAL,T,RO,1924488,ok,1919434,ok,1913831,ok,1828087,b,1824598,ok,1817895,ok,1811755,ok,1802212,ok,1792491,ok,1784296,ok,1777474,ok,1771480,e
256,NR,TOTAL,T,SE,1981263,ok,2019182,ok,2054343,ok,2091473,ok,2127006,ok,2163042,ok,2198044,ok,2231439,ok,2269060,ok,2308143,ok,2344124,ok,2377081,ok
257,NR,TOTAL,T,SE,1545587,ok,1558292,ok,1569248,ok,1578097,ok,1589821,ok,1605347,ok,1621566,ok,1638825,ok,1664145,ok,1687810,ok,1708813,ok,1727398,ok
258,NR,TOTAL,T,SE,807871,ok,810066,ok,811611,ok,812948,ok,815792,ok,819426,ok,826243,ok,834276,ok,847667,ok,856887,ok,864630,ok,870200,ok
259,NR,TOTAL,T,SE,1367017,ok,1383653,ok,1396556,ok,1405912,ok,1415403,ok,1426826,ok,1443065,ok,1459880,ok,1483018,ok,1504060,ok,1521848,ok,1537433,ok
260,NR,TOTAL,T,SE,1851702,ok,1866283,ok,1879781,ok,1892328,ok,1904563,ok,1921924,ok,1942677,ok,1963466,ok,1992116,ok,2015607,ok,2039166,ok,2059729,ok
261,NR,TOTAL,T,SE,825149,ok,825931,ok,826820,ok,825431,ok,826272,ok,829134,ok,833585,ok,838747,ok,848451,ok,852201,ok,855220,ok,857762,ok
262,NR,TOTAL,T,SE,370269,ok,369708,ok,369316,ok,368454,ok,368182,ok,368617,ok,369826,ok,371273,ok,374245,ok,375774,ok,375733,ok,376157,ok
263,NR,TOTAL,T,SE,507489,ok,507567,ok,507895,ok,508212,ok,508854,ok,510548,ok,512349,ok,513111,ok,516451,ok,519760,ok,520651,ok,521829,ok
264,NR,TOTAL,T,SI,1095836,ok,1099674,ok,1098506,ok,1099196,ok,1097198,ok,1094709,ok,1093545,ok,1092193,ok,1091159,ok,1089717,ok,1094435,ok,1100012,ok
265,NR,TOTAL,T,SI,936526,ok,947302,ok,951683,ok,956300,ok,961623,ok,966376,ok,969329,ok,971995,ok,974736,ok,977163,ok,986473,ok,995849,ok
266,NR,TOTAL,T,SK,594966,ok,597999,ok,599931,ok,606537,ok,612682,ok,618380,ok,625167,ok,633288,ok,641892,ok,650838,ok,659598,ok,669592,ok
267,NR,TOTAL,T,SK,1845563,ok,1842763,ok,1838786,ok,1839259,ok,1838136,ok,1836664,ok,1834832,ok,1832159,ok,1830751,ok,1828428,ok,1826145,ok,1823792,ok
268,NR,TOTAL,T,SK,1349903,ok,1350286,ok,1349286,ok,1349729,ok,1348611,ok,1347233,ok,1345808,ok,1343458,ok,1342287,ok,1340811,ok,1339242,ok,1336785,ok
269,NR,TOTAL,T,SK,1591969,ok,1599362,ok,1604443,ok,1608797,ok,1611407,ok,1613672,ok,1615542,ok,1617347,ok,1620413,ok,1623043,ok,1625436,ok,1627704,ok
270,NR,TOTAL,T,TR,12697164,ok,12915158,ok,13255685,ok,13624240,ok,13854740,ok,14160467,ok,14377018,ok,14657434,ok,14804116,ok,15029231,ok,15067724,ok,15519267,ok
271,NR,TOTAL,T,TR,1502358,ok,1511952,ok,1521328,ok,1569388,ok,1593247,ok,1613616,ok,1650735,ok,1687420,ok,1726260,ok,1768368,ok,1802315,ok,1831151,ok
272,NR,TOTAL,T,TR,1605067,ok,1617820,ok,1642720,ok,1640759,ok,1654422,ok,1665089,ok,1700847,ok,1700029,ok,1715969,ok,1735241,ok,1767237,ok,1770777,ok
273,NR,TOTAL,T,TR,3795978,ok,3868308,ok,3948848,ok,3965232,ok,4005459,ok,4061074,ok,4113072,ok,4168415,ok,4223545,ok,4279677,ok,4320519,ok,4367251,ok
274,NR,TOTAL,T,TR,2674760,ok,2707898,ok,2739188,ok,2779765,ok,2808243,ok,2851086,ok,2915188,ok,2955825,ok,2997720,ok,3038325,ok,3093015,ok,3131322,ok
275,NR,TOTAL,T,TR,2914110,ok,2940947,ok,3005558,ok,2942695,ok,2965800,ok,2985153,ok,2995289,ok,3013892,ok,3043846,ok,3065961,ok,3100666,ok,3119860,ok
276,NR,TOTAL,T,TR,3442871,ok,3508133,ok,3595460,ok,3637222,ok,3682037,ok,3749582,ok,3809784,ok,3881624,ok,3964535,ok,4019116,ok,4089156,ok,4163022,ok
277,NR,TOTAL,T,TR,3136555,ok,3193210,ok,3246147,ok,3315463,ok,3376330,ok,3448702,ok,3522353,ok,3617728,ok,3719652,ok,3805481,ok,3878979,ok,3961953,ok
278,NR,TOTAL,T,TR,4548939,ok,4650802,ok,4771716,ok,4890893,ok,4965542,ok,5045083,ok,5150072,ok,5270575,ok,5346518,ok,5445026,ok,5503985,ok,5639076,ok
279,NR,TOTAL,T,TR,2200013,ok,2224547,ok,2246478,ok,2272560,ok,2287705,ok,2317164,ok,2349170,ok,2372740,ok,2406913,ok,2426821,ok,2457522,ok,2485653,ok
280,NR,TOTAL,T,TR,2514175,ok,2592075,ok,2685499,ok,2705254,ok,2763541,ok,2833306,ok,2898240,ok,2968561,ok,3017280,ok,3063005,ok,3137694,ok,3227410,ok
281,NR,TOTAL,T,TR,3629227,ok,3703114,ok,3733124,ok,3776744,ok,3808483,ok,3855034,ok,3892850,ok,3928388,ok,3975522,ok,4010406,ok,4034593,ok,4078365,ok
282,NR,TOTAL,T,TR,2907289,ok,2957713,ok,3004608,ok,3013790,ok,3038983,ok,3077753,ok,3115681,ok,3142990,ok,3189974,ok,3230573,ok,3289122,ok,3321755,ok
283,NR,TOTAL,T,TR,1492804,ok,1504789,ok,1496296,ok,1495630,ok,1501311,ok,1510080,ok,1508199,ok,1515228,ok,1546995,ok,1560774,ok,1603688,ok,1608193,ok
284,NR,TOTAL,T,TR,2299704,ok,2326584,ok,2352971,ok,2348101,ok,2351714,ok,2363390,ok,2378052,ok,2379113,ok,2401245,ok,2416673,ok,2461269,ok,2467565,ok
285,NR,TOTAL,T,TR,1020767,ok,1026825,ok,1035071,ok,1019425,ok,1020108,ok,1020957,ok,1019534,ok,1023593,ok,1032260,ok,1034922,ok,1046711,ok,1042760,ok
286,NR,TOTAL,T,TR,737308,ok,745976,ok,743029,ok,739997,ok,745525,ok,763570,ok,756983,ok,757711,ok,766303,ok,765874,ok,819468,ok,793437,ok
287,NR,TOTAL,T,TR,2719954,ok,2739487,ok,2740686,ok,2717685,ok,2717970,ok,2714575,ok,2717042,ok,2721221,ok,2752803,ok,2773386,ok,2822353,ok,2829953,ok
288,NR,TOTAL,T,TR,2507387,ok,2526619,ok,2516167,ok,2513021,ok,2545274,ok,2553647,ok,2566840,ok,2572850,ok,2645584,ok,2633417,ok,2719113,ok,2690180,ok
289,NR,TOTAL,T,TR,1061287,ok,1062205,ok,1068446,ok,1072848,ok,1071878,ok,1062345,ok,1067560,ok,1063789,ok,1078207,ok,1072404,ok,1086156,ok,1081652,ok
290,NR,TOTAL,T,TR,1140575,ok,1135856,ok,1133660,ok,1157546,ok,1154277,ok,1145257,ok,1138766,ok,1131570,ok,1123161,ok,1115810,ok,1124898,ok,1118370,ok
291,NR,TOTAL,T,TR,1623891,ok,1626357,ok,1625158,ok,1663811,ok,1673852,ok,1681719,ok,1690843,ok,1700468,ok,1711847,ok,1726199,ok,1762077,ok,1755735,ok
292,NR,TOTAL,T,TR,1994165,ok,2012044,ok,2022373,ok,2046027,ok,2082470,ok,2092863,ok,2111068,ok,2124349,ok,2115729,ok,2128670,ok,2167642,ok,2174672,ok
293,NR,TOTAL,T,TR,2318281,ok,2364249,ok,2414833,ok,2471979,ok,2519139,ok,2570208,ok,2616082,ok,2665265,ok,2715553,ok,2756910,ok,2795617,ok,2838319,ok
294,NR,TOTAL,T,TR,3067052,ok,3128748,ok,3192329,ok,3287197,ok,3354242,ok,3409417,ok,3480715,ok,3546516,ok,3613746,ok,3685654,ok,3768205,ok,3829967,ok
295,NR,TOTAL,T,TR,1965419,ok,1969896,ok,1985610,ok,2056997,ok,2085092,ok,2116727,ok,2153921,ok,2173759,ok,2179588,ok,2222601,ok,2284158,ok,2307332,ok
