Unit,Age,Sex,Location,2009,2009_status,2010,2010_status,2011,2011_status,2012,2012_status,2013,2013_status,2014,2014_status,2015,2015_status,2016,2016_status,2017,2017_status,2018,2018_status,2019,2019_status,2020,2020_status
NR,TOTAL,T,DE,,ok,,ok,966434,b,971030,ok,978674,ok,986504,ok,999168,ok,1016485,ok,1027484,ok,1037782,ok,1043293,ok,1049025,ok
NR,TOTAL,T,DE,2381872,ok,2356219,ok,2297386,b,2276736,ok,2259393,ok,2244577,ok,2235548,ok,2245470,ok,2236252,ok,2223081,ok,2208321,ok,2194782,ok
NR,TOTAL,T,DE,2834260,ok,2832027,ok,2800134,b,2802266,ok,2806531,ok,2815955,ok,2830864,ok,2858714,ok,2881926,ok,2889821,ok,2896712,ok,2903773,ok
NR,TOTAL,T,DE,2267763,ok,2249882,ok,2195344,b,2181603,ok,2170460,ok,2160840,ok,2156759,ok,2170714,ok,2158128,ok,2151205,ok,2143145,ok,2133378,ok
NR,TOTAL,T,DK,1662285,ok,1680271,ok,1699387,ok,1714589,ok,1732068,ok,1749405,ok,1768125,ok,1789174,ok,1807404,ok,1822659,ok,1835562,ok,1846023,ok
NR,TOTAL,T,DK,821252,ok,820564,ok,819763,ok,817907,ok,816359,ok,816726,ok,820480,ok,827499,ok,832553,ok,835024,ok,836738,ok,837359,ok
NR,TOTAL,T,DK,1199667,ok,1200277,ok,1200656,ok,1201342,ok,1201419,ok,1202509,ok,1205728,ok,1211770,ok,1217224,ok,1220763,ok,1223348,ok,1223105,ok
NR,TOTAL,T,DK,1247732,ok,1253998,ok,1260993,ok,1266682,ok,1272510,ok,1277538,ok,1282750,ok,1293309,ok,1304253,ok,1313596,ok,1320678,ok,1326340,ok
NR,TOTAL,T,DK,580515,ok,579628,ok,579829,ok,579996,ok,580272,ok,581057,ok,582632,ok,585499,ok,587335,ok,589148,ok,589755,ok,589936,ok
NR,TOTAL,T,EE,1335740,ok,1333290,ok,1329660,ok,1325217,ok,1320174,ok,1315819,ok,1314870,b,1315944,ok,1315635,ok,1319133,ok,1324820,ok,1328976,ok
NR,TOTAL,T,EL,3999457,ok,4002871,ok,3992912,ok,3963887,ok,3912849,ok,3863763,ok,3822843,ok,3781274,ok,3773559,ok,3756453,ok,3742235,ok,3738901,ok
NR,TOTAL,T,EL,199517,ok,200179,ok,200831,ok,200591,ok,199478,ok,198581,ok,197695,ok,196654,ok,203700,ok,211137,ok,221098,ok,229516,ok
NR,TOTAL,T,EL,331815,ok,332652,ok,333983,ok,334780,ok,334652,ok,334802,ok,334865,ok,334791,ok,338383,ok,340870,ok,344027,ok,347512,ok
NR,TOTAL,T,EL,618317,ok,623113,ok,627144,ok,629367,ok,630085,ok,630889,ok,631513,ok,631812,ok,632674,ok,633506,ok,634930,ok,636504,ok
NR,TOTAL,T,EL,608639,ok,610112,ok,611573,ok,612074,ok,610102,ok,608214,ok,606490,ok,604504,ok,602799,ok,601175,ok,599723,ok,598613,ok
NR,TOTAL,T,EL,1913980,ok,1921906,ok,1925437,ok,1922590,ok,1912624,ok,1903360,ok,1893878,ok,1883339,ok,1880122,ok,1875996,ok,1873777,ok,1872102,ok
NR,TOTAL,T,EL,286672,ok,286450,ok,285899,ok,284061,ok,281324,ok,278706,ok,276423,ok,273843,ok,271488,ok,269222,ok,267008,ok,264670,ok
NR,TOTAL,T,EL,345167,ok,345960,ok,346503,ok,345437,ok,343128,ok,341046,ok,339142,ok,336834,ok,335250,ok,334337,ok,333696,ok,333265,ok
NR,TOTAL,T,EL,745569,ok,746976,ok,747690,ok,745839,ok,741593,ok,737686,ok,733663,ok,729442,ok,725874,ok,722065,ok,718640,ok,715115,ok
NR,TOTAL,T,EL,208161,ok,208675,ok,209221,ok,209131,ok,208241,ok,207664,ok,207059,ok,206141,ok,205431,ok,204562,ok,203869,ok,203149,ok
NR,TOTAL,T,EL,692990,ok,692269,ok,690904,ok,687935,ok,682583,ok,677727,ok,673263,ok,668258,ok,663970,ok,659470,ok,655189,ok,651065,ok
NR,TOTAL,T,EL,557291,ok,559655,ok,561693,ok,561670,ok,560093,ok,559214,ok,557753,ok,555830,ok,555761,ok,555623,ok,555960,ok,556002,ok
NR,TOTAL,T,EL,587170,ok,588471,ok,589602,ok,589044,ok,586863,ok,585155,ok,583431,ok,581026,ok,579182,ok,576749,ok,574447,ok,572151,ok
NR,TOTAL,T,ES,2767469,ok,2772466,ok,2773411,ok,2771916,ok,2761989,ok,2747226,ok,2734656,ok,2720102,ok,2710216,ok,2703149,ok,2700441,ok,2702592,ok
NR,TOTAL,T,ES,1076276,ok,1077102,ok,1075869,ok,1074308,ok,1067797,ok,1058975,ok,1049875,ok,1040925,ok,1034302,ok,1027624,ok,1022205,ok,1018899,ok
NR,TOTAL,T,ES,584657,ok,588512,ok,590867,ok,592383,ok,590036,ok,587682,ok,585359,ok,582504,ok,581490,ok,581294,ok,581641,ok,582388,ok
