Country,Year,ModalSplit_VehicleType,ModalSplit_ModalSplitKm,ModalTransportToGDP_GDP,RailwayLength_RailwayLengthKm,RailwayTransport_RailwayTransportKm,AirTransport_AirTransportKm,MotorwayNetwork_Unit,MotorwayNetwork_MotorwayLengthKm,RailwayNetwork_RailwayLengthKm,RoadTrafficDeaths_TypeOfRoad,RoadTrafficDeaths_Unit,RoadTrafficDeaths_RoadTrafficDeaths,MotorwayLength_TypeOfRoad,MotorwayLength_LengthOfMotorways
AT,2005,TRN,9.8,102.2,,,,,,,TOTAL,NR,768.0,,
AT,2005,TRN,9.8,102.2,,,,,,,TOTAL,RT,9.3,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,MWAY,NR,89.0,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,MWAY,RT,1.1,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,RD_RUR,NR,477.0,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,RD_RUR,RT,5.8,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,RD_URB,NR,202.0,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,RD_URB,RT,2.5,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,TOTAL,NR,768.0,,
AT,2005,TRN_BUS_TOT_AVD,20.2,102.2,,,,,,,TOTAL,RT,9.3,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,MWAY,NR,74.0,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,MWAY,RT,0.9,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,RD_RUR,NR,456.0,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,RD_RUR,RT,5.5,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,RD_URB,NR,200.0,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,RD_URB,RT,2.4,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,TOTAL,NR,730.0,,
AT,2006,BUS_TOT,10.6,99.6,,,,,,,TOTAL,RT,8.8,,
AT,2006,CAR,79.5,99.6,,,,,,,MWAY,NR,74.0,,
AT,2006,CAR,79.5,99.6,,,,,,,MWAY,RT,0.9,,
AT,2006,CAR,79.5,99.6,,,,,,,RD_RUR,NR,456.0,,
AT,2006,CAR,79.5,99.6,,,,,,,RD_RUR,RT,5.5,,
AT,2006,CAR,79.5,99.6,,,,,,,RD_URB,NR,200.0,,
AT,2006,CAR,79.5,99.6,,,,,,,RD_URB,RT,2.4,,
AT,2006,CAR,79.5,99.6,,,,,,,TOTAL,NR,730.0,,
AT,2006,CAR,79.5,99.6,,,,,,,TOTAL,RT,8.8,,
AT,2006,TRN,10.0,99.6,,,,,,,MWAY,NR,74.0,,
AT,2006,TRN,10.0,99.6,,,,,,,MWAY,RT,0.9,,
AT,2006,TRN,10.0,99.6,,,,,,,RD_RUR,NR,456.0,,
AT,2006,TRN,10.0,99.6,,,,,,,RD_RUR,RT,5.5,,
AT,2006,TRN,10.0,99.6,,,,,,,RD_URB,NR,200.0,,
AT,2006,TRN,10.0,99.6,,,,,,,RD_URB,RT,2.4,,
AT,2006,TRN,10.0,99.6,,,,,,,TOTAL,NR,730.0,,
AT,2006,TRN,10.0,99.6,,,,,,,TOTAL,RT,8.8,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,MWAY,NR,74.0,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,MWAY,RT,0.9,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,RD_RUR,NR,456.0,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,RD_RUR,RT,5.5,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,RD_URB,NR,200.0,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,RD_URB,RT,2.4,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,TOTAL,NR,730.0,,
AT,2006,TRN_BUS_TOT_AVD,20.5,99.6,,,,,,,TOTAL,RT,8.8,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,MWAY,NR,74.0,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,MWAY,RT,0.9,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,RD_RUR,NR,444.0,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,RD_RUR,RT,5.4,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,RD_URB,NR,173.0,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,RD_URB,RT,2.1,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,TOTAL,NR,691.0,,
AT,2007,BUS_TOT,10.6,97.8,,,,,,,TOTAL,RT,8.3,,
AT,2007,CAR,79.3,97.8,,,,,,,MWAY,NR,74.0,,
AT,2007,CAR,79.3,97.8,,,,,,,MWAY,RT,0.9,,
AT,2007,CAR,79.3,97.8,,,,,,,RD_RUR,NR,444.0,,
AT,2007,CAR,79.3,97.8,,,,,,,RD_RUR,RT,5.4,,
AT,2007,CAR,79.3,97.8,,,,,,,RD_URB,NR,173.0,,
AT,2007,CAR,79.3,97.8,,,,,,,RD_URB,RT,2.1,,
AT,2007,CAR,79.3,97.8,,,,,,,TOTAL,NR,691.0,,
AT,2007,CAR,79.3,97.8,,,,,,,TOTAL,RT,8.3,,
AT,2007,TRN,10.1,97.8,,,,,,,MWAY,NR,74.0,,
AT,2007,TRN,10.1,97.8,,,,,,,MWAY,RT,0.9,,
AT,2007,TRN,10.1,97.8,,,,,,,RD_RUR,NR,444.0,,
AT,2007,TRN,10.1,97.8,,,,,,,RD_RUR,RT,5.4,,
AT,2007,TRN,10.1,97.8,,,,,,,RD_URB,NR,173.0,,
AT,2007,TRN,10.1,97.8,,,,,,,RD_URB,RT,2.1,,
AT,2007,TRN,10.1,97.8,,,,,,,TOTAL,NR,691.0,,
AT,2007,TRN,10.1,97.8,,,,,,,TOTAL,RT,8.3,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,MWAY,NR,74.0,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,MWAY,RT,0.9,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,RD_RUR,NR,444.0,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,RD_RUR,RT,5.4,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,RD_URB,NR,173.0,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,RD_URB,RT,2.1,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,TOTAL,NR,691.0,,
AT,2007,TRN_BUS_TOT_AVD,20.7,97.8,,,,,,,TOTAL,RT,8.3,,
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,MWAY,NR,71.0,MWAY,1696.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,MWAY,NR,71.0,RD_EUR,2236.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,MWAY,RT,0.9,MWAY,1696.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,MWAY,RT,0.9,RD_EUR,2236.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,RD_RUR,NR,419.0,MWAY,1696.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,RD_RUR,NR,419.0,RD_EUR,2236.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,RD_RUR,RT,5.0,MWAY,1696.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,RD_RUR,RT,5.0,RD_EUR,2236.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,RD_URB,NR,189.0,MWAY,1696.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,RD_URB,NR,189.0,RD_EUR,2236.0
AT,2008,BUS_TOT,10.0,98.7,,,,KM,1697.0,,RD_URB,RT,2.3,MWAY,1696.0
