TypeOfRoad,Unit,Country,Year,RoadTrafficDeaths
MWAY,NR,NL,2002,123.0
MWAY,NR,PL,2002,40.0
MWAY,NR,PT,2002,110.0
MWAY,NR,RO,2002,10.0
MWAY,NR,SE,2002,27.0
MWAY,NR,SI,2002,35.0
MWAY,NR,SK,2002,19.0
MWAY,NR,UK,2002,226.0
MWAY,RT,AT,2002,1.6
MWAY,RT,BE,2002,1.7
MWAY,RT,CH,2002,1.0
MWAY,RT,CZ,2002,0.5
MWAY,RT,DE,2002,1.0
MWAY,RT,DK,2002,0.9
MWAY,RT,EL,2002,0.6
MWAY,RT,ES,2002,2.6
MWAY,RT,FI,2002,0.3
MWAY,RT,FR,2002,0.8
MWAY,RT,IE,2002,0.1
MWAY,RT,IT,2002,1.4
MWAY,RT,LU,2002,2.7
MWAY,RT,NL,2002,0.8
MWAY,RT,PL,2002,0.1
MWAY,RT,PT,2002,1.1
MWAY,RT,RO,2002,0.0
MWAY,RT,SE,2002,0.3
MWAY,RT,SI,2002,1.8
MWAY,RT,SK,2002,0.4
MWAY,RT,UK,2002,0.4
RD_RUR,NR,AT,2002,565.0
RD_RUR,NR,BE,2002,782.0
RD_RUR,NR,CH,2002,273.0
RD_RUR,NR,CZ,2002,807.0
RD_RUR,NR,DE,2002,4301.0
RD_RUR,NR,DK,2002,289.0
RD_RUR,NR,EL,2002,847.0
RD_RUR,NR,ES,2002,3316.0
RD_RUR,NR,FI,2002,294.0
RD_RUR,NR,FR,2002,5067.0
RD_RUR,NR,IE,2002,269.0
RD_RUR,NR,IS,2002,27.0
RD_RUR,NR,IT,2002,3096.0
RD_RUR,NR,LU,2002,30.0
RD_RUR,NR,NL,2002,516.0
RD_RUR,NR,PL,2002,3025.0
RD_RUR,NR,PT,2002,854.0
RD_RUR,NR,RO,2002,634.0
RD_RUR,NR,SE,2002,387.0
RD_RUR,NR,SI,2002,153.0
RD_RUR,NR,SK,2002,331.0
RD_RUR,NR,UK,2002,1934.0
RD_RUR,RT,AT,2002,7.0
RD_RUR,RT,BE,2002,7.6
RD_RUR,RT,CH,2002,3.7
RD_RUR,RT,CZ,2002,7.9
RD_RUR,RT,DE,2002,5.2
RD_RUR,RT,DK,2002,5.4
RD_RUR,RT,EL,2002,7.8
RD_RUR,RT,ES,2002,8.0
RD_RUR,RT,FI,2002,5.7
RD_RUR,RT,FR,2002,8.2
RD_RUR,RT,IE,2002,6.8
RD_RUR,RT,IS,2002,9.4
RD_RUR,RT,IT,2002,5.4
RD_RUR,RT,LU,2002,6.7
RD_RUR,RT,NL,2002,3.2
RD_RUR,RT,PL,2002,7.9
RD_RUR,RT,PT,2002,8.2
RD_RUR,RT,RO,2002,2.9
RD_RUR,RT,SE,2002,4.3
RD_RUR,RT,SI,2002,7.7
RD_RUR,RT,SK,2002,6.2
RD_RUR,RT,UK,2002,3.3
RD_URB,NR,AT,2002,265.0
RD_URB,NR,BE,2002,353.0
RD_URB,NR,CH,2002,164.0
RD_URB,NR,CZ,2002,570.0
RD_URB,NR,DE,2002,1684.0
RD_URB,NR,DK,2002,126.0
RD_URB,NR,EL,2002,718.0
RD_URB,NR,ES,2002,900.0
RD_URB,NR,FI,2002,105.0
RD_URB,NR,FR,2002,2045.0
RD_URB,NR,IE,2002,104.0
RD_URB,NR,IS,2002,2.0
RD_URB,NR,IT,2002,3083.0
RD_URB,NR,LU,2002,20.0
RD_URB,NR,NL,2002,348.0
RD_URB,NR,PL,2002,2761.0
RD_URB,NR,PT,2002,689.0
RD_URB,NR,RO,2002,1767.0
RD_URB,NR,SE,2002,146.0
RD_URB,NR,SI,2002,81.0
RD_URB,NR,SK,2002,275.0
RD_URB,NR,UK,2002,1421.0
RD_URB,RT,AT,2002,3.3
RD_URB,RT,BE,2002,3.4
RD_URB,RT,CH,2002,2.3
RD_URB,RT,CZ,2002,5.6
RD_URB,RT,DE,2002,2.0
RD_URB,RT,DK,2002,2.3
RD_URB,RT,EL,2002,6.6
RD_URB,RT,ES,2002,2.2
RD_URB,RT,FI,2002,2.0
RD_URB,RT,FR,2002,3.3
RD_URB,RT,IE,2002,2.6
RD_URB,RT,IS,2002,0.7
RD_URB,RT,IT,2002,5.4
RD_URB,RT,LU,2002,4.5
RD_URB,RT,NL,2002,2.2
RD_URB,RT,PL,2002,7.2
RD_URB,RT,PT,2002,6.6
RD_URB,RT,RO,2002,8.1
RD_URB,RT,SE,2002,1.6
RD_URB,RT,SI,2002,4.1
RD_URB,RT,SK,2002,5.1
RD_URB,RT,UK,2002,2.4
TOTAL,NR,AT,2002,956.0
